schoolID,institution,campus,state,focusID
2705,American InterContinental University Online,online,online,0
2705,American InterContinental University Online,online,online,3
499,Apollo College,Mesa,AZ,0
499,Apollo College,Mesa,AZ,1
499,Apollo College,Mesa,AZ,2
499,Apollo College,Mesa,AZ,4
499,Apollo College,Mesa,AZ,5
499,Apollo College,Mesa,AZ,6
498,Apollo College,Phoenix,AZ,1
498,Apollo College,Phoenix,AZ,2
498,Apollo College,Phoenix,AZ,4
498,Apollo College,Phoenix,AZ,5
498,Apollo College,Phoenix,AZ,6
500,Apollo College,Tucson,AZ,0
500,Apollo College,Tucson,AZ,1
500,Apollo College,Tucson,AZ,2
500,Apollo College,Tucson,AZ,4
500,Apollo College,Tucson,AZ,5
500,Apollo College,Tucson,AZ,6
142,Apollo College,Boise,ID,0
142,Apollo College,Boise,ID,1
142,Apollo College,Boise,ID,2
142,Apollo College,Boise,ID,5
1651,Apollo College,Albuquerque,NM,0
1651,Apollo College,Albuquerque,NM,1
1651,Apollo College,Albuquerque,NM,2
1651,Apollo College,Albuquerque,NM,4
1651,Apollo College,Albuquerque,NM,5
496,Apollo College,Portland,OR,0
496,Apollo College,Portland,OR,1
496,Apollo College,Portland,OR,2
496,Apollo College,Portland,OR,5
496,Apollo College,Portland,OR,6
497,Apollo College,Spokane,WA,0
497,Apollo College,Spokane,WA,1
497,Apollo College,Spokane,WA,4
497,Apollo College,Spokane,WA,5
4658,Argosy University,Online,online,3
2,Argosy University,Twin Cities,MN,1
2,Argosy University,Twin Cities,MN,3
2,Argosy University,Twin Cities,MN,5
2,Argosy University,Twin Cities,MN,6
2,Argosy University,Twin Cities,MN,7
4488,Ashford University,Online,online,3
4506,ATI Career Training Center,Fort Lauderdale,FL,1
4506,ATI Career Training Center,Fort Lauderdale,FL,4
4508,ATI Career Training Center,Miami,FL,1
4508,ATI Career Training Center,Miami,FL,4
4522,ATI Career Training Center,Albuquerque,NM,1
4518,ATI Career Training Center,Oklahoma City,OK,1
4518,ATI Career Training Center,Oklahoma City,OK,2
4518,ATI Career Training Center,Oklahoma City,OK,5
4505,ATI Career Training Center,Dallas,TX,1
4505,ATI Career Training Center,Dallas,TX,5
4507,ATI Career Training Center,North Richland Hills,TX,1
4507,ATI Career Training Center,North Richland Hills,TX,5
4519,ATI Career Training Center,Richardson,TX,1
